PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
7391.00,WN,Southwest Airlines Co.,14027,PBI,12391,ISP,2026,2
7392.00,AS,Alaska Airlines Inc.,15376,TUS,14747,SEA,2026,2
7392.00,B6,JetBlue Airways,14739,SDQ,14843,SJU,2026,2
7392.00,DL,Delta Air Lines Inc.,11433,DTW,10920,CDG,2026,1
7393.00,DL,Delta Air Lines Inc.,14570,RNO,14869,SLC,2026,1
7393.00,WN,Southwest Airlines Co.,10693,BNA,14122,PIT,2026,2
7393.00,WN,Southwest Airlines Co.,14492,RDU,10693,BNA,2026,1
7394.00,UA,United Air Lines Inc.,11292,DEN,12339,IND,2026,2
7397.00,NK,Spirit Air Lines,11433,DTW,12892,LAX,2026,1
7400.00,DL,Delta Air Lines Inc.,11618,EWR,14869,SLC,2026,2
7400.00,WN,Southwest Airlines Co.,12264,IAD,11292,DEN,2026,1
7401.00,NK,Spirit Air Lines,13495,MSY,11697,FLL,2026,1
7401.00,UA,United Air Lines Inc.,13744,NRT,12266,IAH,2026,1
7402.00,UA,United Air Lines Inc.,11042,CLE,11618,EWR,2026,1
7402.00,UA,United Air Lines Inc.,14832,SJD,12266,IAH,2026,2
7403.00,DL,Delta Air Lines Inc.,13487,MSP,10299,ANC,2026,1
7404.00,BA,British Airways Plc,12972,LHR,14679,SAN,2026,1
7406.00,CZ,China Southern Airlines,10877,CAN,12892,LAX,2026,1
7407.00,BA,British Airways Plc,12972,LHR,11298,DFW,2026,2
7408.00,B6,JetBlue Airways,12889,LAS,13204,MCO,2026,1
7408.00,DL,Delta Air Lines Inc.,12173,HNL,13487,MSP,2026,1
7408.00,TA,Taca International Airlines,13269,MGA,13303,MIA,2026,2
7408.00,UA,United Air Lines Inc.,11066,CMH,11292,DEN,2026,2
7409.00,B6,JetBlue Airways,13204,MCO,12889,LAS,2026,1
7409.00,DL,Delta Air Lines Inc.,13485,MSN,10397,ATL,2026,1
7409.00,UA,United Air Lines Inc.,12264,IAD,14492,RDU,2026,1
7411.00,AA,American Airlines Inc.,14677,SAL,13303,MIA,2026,2
7411.00,NK,Spirit Air Lines,15304,TPA,11433,DTW,2026,2
7413.00,BA,British Airways Plc,14107,PHX,12972,LHR,2026,2
7416.00,AA,American Airlines Inc.,11057,CLT,14307,PVD,2026,2
7416.00,B6,JetBlue Airways,11697,FLL,10397,ATL,2026,2
7416.00,DL,Delta Air Lines Inc.,14262,PSP,13487,MSP,2026,2
7417.00,YX,Republic Airline,12339,IND,11278,DCA,2026,2
7419.00,DL,Delta Air Lines Inc.,12010,GUA,10397,ATL,2026,1
7420.00,DL,Delta Air Lines Inc.,14747,SEA,12169,HND,2026,2
7420.00,UA,United Air Lines Inc.,10140,ABQ,11292,DEN,2026,1
7420.00,UA,United Air Lines Inc.,13930,ORD,12169,HND,2026,1
7422.00,JX,STARLUX AIRLINES,14747,SEA,15306,TPE,2026,1
7422.00,WN,Southwest Airlines Co.,13204,MCO,14730,SDF,2026,2
7423.00,AA,American Airlines Inc.,11298,DFW,14838,SJO,2026,2
7424.00,UA,United Air Lines Inc.,14771,SFO,11298,DFW,2026,1
7424.00,WN,Southwest Airlines Co.,10821,BWI,10994,CHS,2026,2
7425.00,DL,Delta Air Lines Inc.,14771,SFO,14747,SEA,2026,2
7427.00,WN,Southwest Airlines Co.,12391,ISP,14027,PBI,2026,2
7429.00,AS,Alaska Airlines Inc.,14679,SAN,13830,OGG,2026,1
7430.00,DL,Delta Air Lines Inc.,10397,ATL,11915,GIG,2026,1
7431.00,IB,Iberia Air Lines Of Spain,13156,MAD,13930,ORD,2026,1
7433.00,AA,American Airlines Inc.,11298,DFW,11003,CID,2026,1
7434.00,UA,United Air Lines Inc.,11603,EUG,11292,DEN,2026,1
7434.00,WN,Southwest Airlines Co.,12889,LAS,13930,ORD,2026,2
7436.00,WN,Southwest Airlines Co.,15304,TPA,13495,MSY,2026,2
7437.00,AA,American Airlines Inc.,13303,MIA,15027,STX,2026,1
7439.00,OO,SkyWest Airlines Inc.,13851,OKC,13930,ORD,2026,1
7439.00,UA,United Air Lines Inc.,10397,ATL,11292,DEN,2026,1
7439.00,WN,Southwest Airlines Co.,10397,ATL,15016,STL,2026,2
7440.00,WN,Southwest Airlines Co.,11066,CMH,13232,MDW,2026,1
7441.00,WN,Southwest Airlines Co.,10713,BOI,14893,SMF,2026,1
7442.00,TP,TAP-TAP Air Portugal,11618,EWR,12991,LIS,2026,1
